Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
DNALI1	Inf	Inf	1
GNL2	Inf	Inf	1
RSPO1	Inf	Inf	1
C1orf109	Inf	Inf	1
CDCA8	Inf	Inf	1
EPHA10	Inf	Inf	1
MANEAL	Inf	Inf	1
YRDC	Inf	Inf	1
C1orf122	Inf	Inf	1
MTF1	Inf	Inf	1
INPP5B	Inf	Inf	1
SF3A3	Inf	Inf	1
FHL3	Inf	Inf	1
UTP11L	Inf	Inf	1
POU3F1	Inf	Inf	1
RRAGC	Inf	Inf	1
MYCBP	Inf	Inf	1
RHBDL2	Inf	Inf	1
AKIRIN1	Inf	Inf	1
NDUFS5	Inf	Inf	1
MACF1	Inf	Inf	1
BMP8A	Inf	Inf	1
PPIEL	Inf	Inf	1
PABPC4	Inf	Inf	1
SNORA55	Inf	Inf	1
HEYL	Inf	Inf	1
NT5C1A	Inf	Inf	1
HPCAL4	Inf	Inf	1
PPIE	Inf	Inf	1
BMP8B	Inf	Inf	1
OXCT2	Inf	Inf	1
TRIT1	Inf	Inf	1
MYCL1	Inf	Inf	1
MFSD2A	Inf	Inf	1
BC069694	Inf	Inf	1
CAP1	Inf	Inf	1
PPT1	Inf	Inf	1
RLF	Inf	Inf	1
TMCO2	Inf	Inf	1
ZMPSTE24	Inf	Inf	1
COL9A2	Inf	Inf	1
SMAP2	Inf	Inf	1
ZNF643	Inf	Inf	1
ZNF642	Inf	Inf	1
DEM1	Inf	Inf	1
ZNF684	Inf	Inf	1
RIMS3	Inf	Inf	1
NFYC	Inf	Inf	1
MIR30E	Inf	Inf	1
MIR30C1	Inf	Inf	1
KCNQ4	Inf	Inf	1
CITED4	Inf	Inf	1
CTPS	Inf	Inf	1
SLFNL1	Inf	Inf	1
SCMH1	Inf	Inf	1
EDN2	Inf	Inf	1
HIVEP3	Inf	Inf	1
GUCA2B	Inf	Inf	1
GUCA2A	Inf	Inf	1
FOXJ3	Inf	Inf	1
RIMKLA	Inf	Inf	1
ZMYND12	Inf	Inf	1
PPCS	Inf	Inf	1
CCDC30	Inf	Inf	1
PPIH	Inf	Inf	1
AF086102	Inf	Inf	1
YBX1	Inf	Inf	1
CLDN19	Inf	Inf	1
LEPRE1	Inf	Inf	1
C1orf50	Inf	Inf	1
CCDC23	Inf	Inf	1
ERMAP	Inf	Inf	1
ZNF691	Inf	Inf	1
BC043541	Inf	Inf	1
SLC2A1	Inf	Inf	1
FLJ32224	Inf	Inf	1
EBNA1BP2	Inf	Inf	1
WDR65	Inf	Inf	1
TMEM125	Inf	Inf	1
C1orf210	Inf	Inf	1
TIE1	Inf	Inf	1
MPL	Inf	Inf	1
CDC20	Inf	Inf	1
ELOVL1	Inf	Inf	1
MED8	Inf	Inf	1
SZT2	Inf	Inf	1
HYI	Inf	Inf	1
PTPRF	Inf	Inf	1
KDM4A	Inf	Inf	1
LOC100132774	Inf	Inf	1
ST3GAL3	Inf	Inf	1
ARTN	Inf	Inf	1
IPO13	Inf	Inf	1
DPH2	Inf	Inf	1
ATP6V0B	Inf	Inf	1
B4GALT2	Inf	Inf	1
CCDC24	Inf	Inf	1
SLC6A9	Inf	Inf	1
KLF17	Inf	Inf	1
DMAP1	Inf	Inf	1
ERI3	Inf	Inf	1
RNF220	Inf	Inf	1
TMEM53	Inf	Inf	1
C1orf228	Inf	Inf	1
KIF2C	Inf	Inf	1
RPS8	Inf	Inf	1
SNORD55	Inf	Inf	1
SNORD46	Inf	Inf	1
SNORD38B	Inf	Inf	1
BEST4	Inf	Inf	1
PLK3	Inf	Inf	1
TCTEX1D4	Inf	Inf	1
EIF2B3	Inf	Inf	1
HECTD3	Inf	Inf	1
UROD	Inf	Inf	1
ZSWIM5	Inf	Inf	1
HPDL	Inf	Inf	1
MUTYH	Inf	Inf	1
TOE1	Inf	Inf	1
TESK2	Inf	Inf	1
CCDC163P	Inf	Inf	1
PRDX1	Inf	Inf	1
AKR1A1	Inf	Inf	1
NASP	Inf	Inf	1
CCDC17	Inf	Inf	1
GPBP1L1	Inf	Inf	1
TMEM69	Inf	Inf	1
IPP	Inf	Inf	1
MAST2	Inf	Inf	1
PIK3R3	Inf	Inf	1
TSPAN1	Inf	Inf	1
POMGNT1	Inf	Inf	1
RAD54L	Inf	Inf	1
LRRC41	Inf	Inf	1
UQCRH	Inf	Inf	1
NSUN4	Inf	Inf	1
FAAH	Inf	Inf	1
DMBX1	Inf	Inf	1
KNCN	Inf	Inf	1
MKNK1	Inf	Inf	1
MOB3C	Inf	Inf	1
ATPAF1	Inf	Inf	1
ATPAF1-AS1	Inf	Inf	1
KIAA0494	Inf	Inf	1
CYP4B1	Inf	Inf	1
CYP4Z2P	Inf	Inf	1
CYP4A11	Inf	Inf	1
CYP4X1	Inf	Inf	1
CYP4Z1	Inf	Inf	1
CYP4A22	Inf	Inf	1
PDZK1IP1	Inf	Inf	1
TAL1	Inf	Inf	1
STIL	Inf	Inf	1
CMPK1	Inf	Inf	1
AX748181	Inf	Inf	1
FOXE3	Inf	Inf	1
MGC12982	Inf	Inf	1
FOXD2	Inf	Inf	1
SLC5A9	Inf	Inf	1
SPATA6	Inf	Inf	1
AGBL4	Inf	Inf	1
BEND5	Inf	Inf	1
ELAVL4	Inf	Inf	1
FAF1	Inf	Inf	1
CDKN2C	Inf	Inf	1
C1orf185	Inf	Inf	1
RNF11	Inf	Inf	1
TTC39A	Inf	Inf	1
EPS15	Inf	Inf	1
OSBPL9	Inf	Inf	1
NRD1	Inf	Inf	1
AK090844	Inf	Inf	1
RAB3B	Inf	Inf	1
TXNDC12	Inf	Inf	1
KTI12	Inf	Inf	1
BTF3L4	Inf	Inf	1
ZFYVE9	Inf	Inf	1
CC2D1B	Inf	Inf	1
ORC1	Inf	Inf	1
PRPF38A	Inf	Inf	1
ZCCHC11	Inf	Inf	1
GPX7	Inf	Inf	1
FAM159A	Inf	Inf	1
SELRC1	Inf	Inf	1
ZYG11B	Inf	Inf	1
ZYG11A	Inf	Inf	1
ECHDC2	Inf	Inf	1
SCP2	Inf	Inf	1
PODN	Inf	Inf	1
SLC1A7	Inf	Inf	1
AX748428	Inf	Inf	1
CPT2	Inf	Inf	1
C1orf123	Inf	Inf	1
MAGOH	Inf	Inf	1
LOC100507564	Inf	Inf	1
LRP8	Inf	Inf	1
AK097571	Inf	Inf	1
DMRTB1	Inf	Inf	1
GLIS1	Inf	Inf	1
TMEM48	Inf	Inf	1
YIPF1	Inf	Inf	1
DIO1	Inf	Inf	1
HSPB11	Inf	Inf	1
LRRC42	Inf	Inf	1
LDLRAD1	Inf	Inf	1
TMEM59	Inf	Inf	1
TCEANC2	Inf	Inf	1
CDCP2	Inf	Inf	1
CYB5RL	Inf	Inf	1
MRPL37	Inf	Inf	1
SSBP3	Inf	Inf	1
ACOT11	Inf	Inf	1
FAM151A	Inf	Inf	1
HEATR8	Inf	Inf	1
HEATR8-TTC4	Inf	Inf	1
TTC4	Inf	Inf	1
PARS2	Inf	Inf	1
TTC22	Inf	Inf	1
C1orf177	Inf	Inf	1
DHCR24	Inf	Inf	1
