#ucsc_id	geneSymbol	Sample_3	Sample_4	Sample_6	Sample_7	Sample_8	Sample_9	Sample_34	Sample_35	Sample_36	Sample_38	Sample_39	Sample_40	Sample_62	Sample_63	Sample_64	Sample_67	Sample_68	Untreated1	Untreated2	HighDose1	HighDose2	Survivors1	Survivors2
uc001avy.3	TMEM51																							
uc001avz.3	TMEM51																							
uc001awa.1	FHAD1																							
uc001awb.2	FHAD1																							
uc001awc.1	AK055853																							
uc001awd.1	FHAD1																							
uc001awe.1	FHAD1																							
uc001awf.3	FHAD1																							
uc001awg.3	FHAD1																							
uc001awh.2	EFHD2																							
uc001awi.1	CTRC																							
uc001awj.1	CTRC																							
uc001awk.3	CELA2A																							
uc001awl.3	CELA2B																							
uc001awm.2	CASP9																							
uc001awn.3	CASP9																							
uc001awo.3	CASP9																							
uc001awp.3	CASP9																							
uc001awr.1	DNAJC16																							
uc001aws.3	DNAJC16																							
uc001awt.3	DNAJC16																							
uc001awu.3	DNAJC16																							
uc001awv.2	AGMAT																							
uc001aww.3	DDI2																							
uc001awx.2	DDI2																							
uc001awz.3	DQ573015																							
uc001axb.1	SLC25A34																							
uc001axc.3	TMEM82																							
uc001axd.1	FBLIM1																							
uc001axe.1	FBLIM1																							
uc001axg.1	FBLIM1																							
uc001axh.1	FBLIM1																							
uc001axi.1	FBLIM1																							
uc001axj.2	FLJ37453																							
uc001axk.1	SPEN																							
uc001axl.4	ZBTB17																							
uc001axm.1	DQ576383																							
uc001axn.3	C1orf64																							
uc001axo.2	HSPB7																							
uc001axp.2	HSPB7																							
uc001axq.2	HSPB7																							
uc001axr.2	HSPB7																							
uc001axs.2	HSPB7																							
uc001axt.3	CLCNKA																							
uc001axu.3	CLCNKA																							
uc001axv.3	CLCNKA																							
uc001axx.4	CLCNKB																							
uc001axy.4	CLCNKB																							
uc001axz.4	FAM131C																							
uc001aya.2	EPHA2																							
uc001ayc.1	ARHGEF19																							
uc001ayd.3	RSG1																							
uc001ayf.3	FBXO42																							
uc001ayg.3	FBXO42																							
uc001ayh.3	FBXO42																							
uc001ayi.4	C1orf144																							
uc001ayk.4	C1orf144																							
uc001ayl.1	SPATA21																							
uc001aym.4	C1orf144																							
uc001ayn.3	SPATA21																							
uc001ayo.3	NECAP2																							
uc001ayq.3	NECAP2																							
uc001ays.2	CROCCP3																							
uc001ayt.2	CROCCP3																							
uc001ayv.1	AX747988																							
uc001ayw.3	AB1																							
uc001ayz.1	NBPF1																							
uc001aza.4	NBPF1																							
uc001azb.1	NBPF1																							
uc001azc.1	NBPF1																							
uc001aze.3	CROCCP2																							
uc001azf.3	CROCCP2																							
uc001azg.1	CROCCP2																							
