id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
PTPRM	91768.3724512393	183326.884832527	209.860069951767	0.00114473155502249	-9.77077496550515	2.2235685807838e-06	0.000330545403941149
ACTB	67665.3903437968	135135.453181171	195.327506422244	0.00144542014566951	-9.43429537742366	2.28089063071646e-06	0.0003371617655922
SLC20A1	14609.5632814112	29218.141304278	0.985258544374495	3.37207810077309e-05	-14.8560025234791	2.30069485535671e-06	0.000338189290693552
SPRED1	8820.90576115058	17641.8115223012	0	0	-Inf	2.35220536057134e-06	0.000343840152485295
YES1	4782.3722726718	9564.7445453436	0	0	-Inf	2.37218196989425e-06	0.000344844486142859
ARHGAP5	17813.0536208088	35621.1809488957	4.92629272187247	0.000138296726572318	-12.8199453706661	2.43765692324909e-06	0.000352415543761154
ANAPC1	8163.81940813261	16325.9146138126	1.72420245265537	0.000105611384932554	-13.2089470135993	2.51976834288508e-06	0.000362295872338755
ANKS1A	9739.46307699232	19478.1872100764	0.738943908280871	3.79369958975753e-05	-14.6860350333064	2.5580405236201e-06	0.000365799794877674
HSPE1-MOB4	20411.9110962816	40807.811741217	16.0104513460855	0.000392337904507498	-11.3156156559027	2.58752689687995e-06	0.000368016257895704
NKIRAS1	11850.8388982231	23692.8104695468	8.86732689937045	0.00037426234894201	-11.3836624601569	2.78217983763797e-06	0.000393573741332958
AP3B1	13304.6904816121	26606.6715022272	2.70946099702986	0.000101833895186891	-13.2614945403467	2.82102270034257e-06	0.000396934488189379
THBS1	52269.8535745514	104456.945431375	82.7617177274576	0.000792304593875274	-10.3016572123834	2.85594750514183e-06	0.000399711121038786
SMURF1	7309.62351983511	14619.2470396702	0	0	-Inf	3.07878687779084e-06	0.000428619260996998
KCNQ5	119215.723149244	237934.137048215	497.309250273026	0.00209011307264519	-8.90220329214931	3.10835338694617e-06	0.00043045786482804
EHF	8761.95823498843	17523.4238407047	0.492629272187248	2.81126152437706e-05	-15.1184228042932	3.1484590301544e-06	0.00043372907854148
BC107595	11473.6167927945	22947.233585589	0	0	-Inf	3.17884205279919e-06	0.000435633812985689
PHKB	29570.2865420506	59093.2806739712	47.2924101299758	0.000800300974841741	-10.2871697129842	3.28739728832022e-06	0.000448176152592133
TCRBV5S1A1T	59928.9156143905	119666.444756536	191.386472244746	0.0015993328174337	-9.28831409312452	3.31736639375647e-06	0.0004499306420233
SLAIN2	13173.8648751194	26345.7592331501	1.97051708874899	7.47944696264266e-05	-13.7067088746113	3.36456189626564e-06	0.000453991551869443
PDLIM5	13815.2711896671	27630.296064698	0.246314636093624	8.91465786384855e-06	-16.7753891396849	3.41195197550584e-06	0.000458037144793416
FUS	8195.34027268387	16389.9416014595	0.738943908280871	4.50852069061107e-05	-14.4369863319562	3.48214445356073e-06	0.000465087232802487
CHST11	64249.7560114021	128495.324673991	4.1873488135916	3.25875577513459e-05	-14.9053192399439	3.54123917862661e-06	0.00046844690147594
AKAP9	9204.68080759483	18405.4205810122	3.94103417749798	0.000214123559967096	-12.1892688356818	3.55484039098902e-06	0.00046844690147594
CSTF3	8510.11636140495	17019.7400935377	0.492629272187248	2.89445825541305e-05	-15.0763471246217	3.56410496884715e-06	0.00046844690147594
RAPH1	27958.444105448	55867.8715983133	49.0166125826311	0.000877366743717349	-10.1545323570119	3.57851273930769e-06	0.00046844690147594
FNBP4	8492.02119550185	16983.5497617315	0.492629272187248	2.9006260711013e-05	-15.0732761493037	3.6274843073354e-06	0.000472506767795094
MLL3	22620.4369151206	45217.9665690846	22.907261156707	0.000506596445943871	-10.9468754237725	3.73726439519311e-06	0.000484408378159217
